Reporting country (Name),Commodity (Name),Trade flow (Name),Unit (Name),Unit,[1976],S,[1977],S,[1978],S,[1979],S,[1980],S,[1981],S,[1982],S,[1983],S,[1984],S,[1985],S,[1986],S,[1987],S,[1988],S,[1989],S,[1990],S,[1991],S,[1992],S,[1993],S,[1994],S,[1995],S,[1996],S,[1997],S,[1998],S,[1999],S,[2000],S,[2001],S,[2002],S,[2003],S,[2004],S,[2005],S,[2006],S,[2007],S,[2008],S,[2009],S,[2010],S,[2011],S,[2012],S,[2013],S,[2014],S,[2015],S,[2016],S,[2017],S,[2018],S,[2019],S,[2020],S,[2021],S,[2022],S,[2023],S,[2024],S
Chile,"Salmons, salted or in brine",Exports,Tonnes – net product weight,TPW,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,21,,3,,141,,102,,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,3080,,1062,,763,,646,,222,,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0.9,,0,...,0,...
Chile,"Salmons, smoked",Exports,Tonnes – net product weight,TPW,0,...,0,...,0,...,7,,2,,8,,1,,1,,1,,4,,13,,16,,15,,23,,62,,19,,124,,128,,415,,894,,822,,1074,,643,,696,,840,,1267,,1338,,1472,,2444,,2493,,2674,,2898,,3229,,2755,,2435,,3343,,3102,,2853,,2386,,2248,,1699,,2048,,2659,,2214.05,,2285.96,,2339.35,,2545.97,,2131.91,,2842.99,
Norway,"Atlantic and Danube salmons, fresh or chilled",Exports,Tonnes – net product weight,TPW,979,,1288,,2545,,3587,,3003,,5595,,7981,,13189,,17465,,21566,,34506,,39304,,56098,,81159,,92861,,91309,,108052,,118348,,140747,,169445,,191122,,205235,,221143,,251728,,265744,,260617,,274453,,316495,,338544,,379273,,397922,,492496,,514773,,568066,,614507,,682600,,828938,,796301,,824923,,868981,,814312,,839346,,891202,,939340.62,,938864.6,,1040873.39,,995462.87,,984133.87,,964789.33,
Norway,"Atlantic salmon and Danube salmon, frozen",Exports,Tonnes – net product weight,TPW,916,,973,,1074,,1308,,1218,,2198,,1560,,2550,,2619,,2821,,4670,,4235,,10035,,14920,,37961,,35425,,15150,,13203,,13245,,19719,,23024,,27875,,29660,,41102,,36182,,38192,,39556,,45873,,48998,,41392,,44767,,49970,,42747,,43541,,50261,,51018,,50366,,44535,,44260,,34788,,34104,,22126,,17708,,20619.68,E,15553.19,E,23684.3,,21690.84,,21586.34,,26958.7,
Norway,"Atlantic salmon, not minced, prepared or preserved",Exports,Tonnes – net product weight,TPW,0,...,0,...,6,,0,...,0,...,0,...,0,...,1,,0,...,0,...,1,,38,,102,,142,,181,,339,,1242,,1525,,1280,,947,,944,,852,,813,,744,,1343,,1009,,854,,527,,462,,501,,365,,843,,1153,,406,,421,,392,,342,,322,,335,,242,,238,,212,,192,,141.83,E,181.41,E,254.05,,229.64,,72.05,,96.6,
Norway,"Pacific salmons, fresh or chilled",Exports,Tonnes – net product weight,TPW,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,3.57,,51.37,,0.8,
Norway,"Pacific salmons, frozen, nei",Exports,Tonnes – net product weight,TPW,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,26,,693,,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,19,,0,...,1,,36,,61,,0,N,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,2,,0,...,0,...,0,...,0,...,0,...,0,...,28.44,
Norway,"Salmon fillets, fresh or chilled",Exports,Tonnes – net product weight,TPW,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,2228,,2514,,3190,,4820,,6010,,10278,,12434,,12432,,18051,,15552,,14306,,17450,,21667,,27309,,27002,,29013,,33201,,35330,,57099,,66916,,55200,,66844,,69205,,77034,,81138,,83311,,75119,,77801,,85145.25,,101358.18,,123144.7,,130829.64,,121149.85,,142480.14,
Norway,"Salmon fillets, frozen",Exports,Tonnes – net product weight,TPW,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,3672,,4727,,5121,,8197,,9334,,10630,,12383,,13406,,19052,,18691,,19638,,22942,,24742,,20513,,21475,,22628,,15737,,14807,,28721,,33765,,33658,,37020,,35529,,40445,,38044,,37474,,43752,,40623,,45618.84,E,52789.56,,60719.41,,64640.08,,62777.31,,71819.79,
Norway,"Salmon nei, not minced, prep.or pres, in airtight containers",Exports,Tonnes – net product weight,TPW,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,145,,277,,57,,71,,162,,90,,185,,108,,51,,43,,886,,736,,9,,5,,3,,1,,2,,3,,6,,0,...,4,,6,,29.08,E,81.38,E,86.58,,77.49,,76.89,,57.2,
Norway,"Salmonoids meat, fresh or chilled, nei",Exports,Tonnes – net product weight,TPW,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,259,,99,,145,,42,,10,,0,...,20,,3,,2,,2,,4,,9,,9.21,,7.68,,6.17,,5.32,,18.93,,1.43,
Norway,"Salmonoids, frozen",Exports,Tonnes – net product weight,TPW,0,N,1,,2,,5,,9,,3,,26,,3,,3,,0,...,11,,12,,81,,105,,36,,56,,311,,37,,107,,80,,809,,1140,,656,,1819,,1638,,191,,252,,90,,3,,13026,,15005,,11870,,10672,,11261,,11958,,214,,23,,19,,23,,2,,3,,7,,4,,2,E,3.02,E,2.5,,5.41,,34.55,,17.71,
Norway,"Salmons, fresh or chilled, nei",Exports,Tonnes – net product weight,TPW,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,1556,,2817,,2098,,1218,,1614,,1779,,1331,,1397,,1044,,1543,,1744,,3059,,4453,,2871,,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...
Norway,"Salmons, meat. frozen",Exports,Tonnes – net product weight,TPW,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,9309,,9511,,8034,,10936,,10318,,9679,,8911,,7451,,7968,,7585,,6527,,8259,,9539.76,,11674.9,,11741.12,,0,...,0,...,0,...
Norway,"Salmons, salted or in brine",Exports,Tonnes – net product weight,TPW,0,...,0,...,0,...,0,...,0,...,1,,0,...,1,,0,...,1,,6,,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...
Norway,"Salmons, smoked",Exports,Tonnes – net product weight,TPW,15,,23,,45,,71,,70,,99,,95,,157,,281,,467,,897,,983,,686,,1294,,1853,,1763,,1602,,1676,,1964,,1835,,2113,,2446,,2677,,3255,,3359,,3602,,3689,,3488,,3896,,3519,,2329,,2502,,2286,,1908,,2181,,2062,,1984,,1956,,2191,,2185,,1956,,2249,,2478,,2387.4,,1412.85,E,1686.72,,2002.11,,2029.48,,1904.61,
Totals - Tonnes – net product weight,,,,,1910,,2285,,3672,,4978,,4303,,8008,,9745,,15955,,20419,,25178,,40990,,45806,,70197,,104694,,153073,,162206,,172030,,186823,,223135,,283307,,335313,,381456,,424228,,458794,,503365,,603469,,604063,,630271,,706676,,796300,,805918,,906673,,955572,,992464,,966252,,1093458,,1342183,,1373868,,1487659,,1556849,,1445585,,1489626,,1624070,,1697839.05,,1774797.37,,1877388.73,,1830653.31,,1828814.24,,1855096.04,
"FAO. 2026. FishStat: Global Aquatic Trade - All partners aggregated 1976-2024. [Accessed on 30 June 2026]. In: FishStatj. Available at https://www.fao.org/fishery/en/collection/global_commodity_prod. Licence: CC-BY-4.0.
For a correct citation, please revise the date you accessed the data."
