Reporting country (Name),Commodity (Name),Trade flow (Name),Unit (Name),Unit,[1976],S,[1977],S,[1978],S,[1979],S,[1980],S,[1981],S,[1982],S,[1983],S,[1984],S,[1985],S,[1986],S,[1987],S,[1988],S,[1989],S,[1990],S,[1991],S,[1992],S,[1993],S,[1994],S,[1995],S,[1996],S,[1997],S,[1998],S,[1999],S,[2000],S,[2001],S,[2002],S,[2003],S,[2004],S,[2005],S,[2006],S,[2007],S,[2008],S,[2009],S,[2010],S,[2011],S,[2012],S,[2013],S,[2014],S,[2015],S,[2016],S,[2017],S,[2018],S,[2019],S,[2020],S,[2021],S,[2022],S,[2023],S,[2024],S
Norway,"Atlantic salmon, not minced, prepared or preserved",Exports,Value (USD 1000),USD (1000),0,...,0,N,13,,4,,2,,1,,3,,5,,0,N,7,,11,,665,,1427,,2009,,2807,,4047,,14640,,15411,,12122,,11523,,10492,,9452,,8418,,7543,,13210,,9377,,8518,,5799,,4122,,4463,,4147,,9582,,14208,,5053,,6085,,6048,,4403,,4218,,4377,,3024,,2994,,3475,,2814,,2237.13,,2470.66,,2841.41,,3189.9,,1215.88,,1692.5,
Norway,"Pacific salmons, fresh or chilled",Exports,Value (USD 1000),USD (1000),0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,74.36,,225.46,,8.75,
Norway,"Pacific salmons, frozen, nei",Exports,Value (USD 1000),USD (1000),0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,249,,3559,,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,80,,0,...,12,,81,,174,,1,,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,15,,0,...,0,...,0,...,0,...,0,...,0,...,82.56,
Norway,"Salmon fillets, fresh or chilled",Exports,Value (USD 1000),USD (1000),0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,19294,,24074,,26317,,39378,,49792,,70547,,78133,,78014,,114766,,96532,,74461,,90364,,113490,,150440,,178455,,227430,,264188,,285228,,428730,,610141,,526747,,495294,,651585,,749058,,695151,,835201,,852782,,917801,,1008316.29,,1045881.17,,1345540.15,,1596962.38,,1688534.11,,1970925.43,
Norway,"Salmon fillets, frozen",Exports,Value (USD 1000),USD (1000),0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,33563,,45492,,45585,,68603,,89485,,92058,,89792,,97690,,143336,,136602,,126281,,137333,,164405,,158987,,148605,,191832,,167151,,158034,,290033,,391288,,420798,,371824,,405019,,510041,,390642,,429286,,576960,,522608,,551862.85,,609562.06,,729767.08,,909635.23,,926395.28,,1007157.57,
Norway,"Salmon nei, not minced, prep.or pres, in airtight containers",Exports,Value (USD 1000),USD (1000),0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,1512,,1850,,475,,174,,1005,,654,,1866,,1152,,657,,569,,9337,,7615,,173,,105,,51,,31,,40,,57,,84,,0,...,68,,119,,479.22,,1311.35,,1388,,1258.04,,1310.36,,1083.28,
Norway,"Salmonoids meat, fresh or chilled, nei",Exports,Value (USD 1000),USD (1000),0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,2371,,1250,,1864,,182,,65,,0,...,175,,17,,30,,4,,93,,210,,202.56,,161.61,,135.37,,100.23,,319.45,,23.37,
Norway,"Salmonoids, frozen",Exports,Value (USD 1000),USD (1000),2,,3,,8,,21,,39,,8,,60,,8,,10,,0,N,65,,154,,237,,201,,142,,124,,1716,,104,,306,,385,,655,,2901,,2572,,890,,1122,,371,,426,,268,,8,,9094,,10116,,11692,,10554,,9208,,9174,,255,,139,,112,,145,,8,,11,,32,,19,,8.05,,13.84,,9.51,,24.9,,197.49,,116.78,
Norway,"Salmons, fresh or chilled, nei",Exports,Value (USD 1000),USD (1000),0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,6342,,11346,,8450,,4197,,5903,,6310,,5863,,6924,,6639,,8030,,9856,,15795,,27742,,18610,,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...
Norway,"Salmons, meat. frozen",Exports,Value (USD 1000),USD (1000),0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,35567,,35037,,22045,,22428,,26150,,32723,,30705,,31066,,27732,,23747,,25678,,35845,,39405.68,,41399,,42991.57,,0,...,0,...,0,...
Norway,"Salmons, salted or in brine",Exports,Value (USD 1000),USD (1000),0,...,0,...,0,...,0,...,9,,12,,0,N,11,,5,,17,,86,,4,,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...
Norway,"Salmons, smoked",Exports,Value (USD 1000),USD (1000),218,,331,,626,,1106,,1294,,1480,,1308,,2107,,3552,,6008,,12606,,15891,,11709,,19615,,29469,,27399,,25954,,24231,,27133,,27186,,28235,,28465,,29124,,33853,,34929,,36661,,37248,,36977,,42931,,43183,,31399,,36304,,35085,,28717,,36837,,37863,,30655,,32591,,38859,,31780,,34710,,40994,,43386,,41016.49,,22609.85,,29724.12,,37239.39,,36388.01,,32208.92,
Totals - Value (USD 1000),,,,,13301,,17034,,24715,,45590,,49310,,55933,,66196,,102152,,123029,,163222,,243841,,349003,,508014,,572847,,907584,,909976,,1037169,,969731,,1151483,,1447811,,1464910,,1546323,,1663737,,1969678,,2104715,,1895128,,1947474,,2298765,,2750840,,3475398,,4403575,,4722786,,5040783,,5304463,,6354268,,7073084,,7085788,,9538701,,10614461,,9043688,,10773815,,11957367,,13057817,,12917362.89,,11475913.19,,14277358.76,,16775849.95,,17238156.65,,17074429.01,
"FAO. 2026. FishStat: Global Aquatic Trade - All partners aggregated 1976-2024. [Accessed on 30 June 2026]. In: FishStatj. Available at https://www.fao.org/fishery/en/collection/global_commodity_prod. Licence: CC-BY-4.0.
For a correct citation, please revise the date you accessed the data."
