"year","country","quantity_tonnes","value_usd1000","price_usd_per_kg","nok_per_usd","clp_per_usd","price_local"
2020,"Chile",652870.6,4010737.78,6.14323539764235,9.41583333333334,792.727206103169,4869.90983320711
2021,"Chile",615189.78,4856626.67,7.89451780229509,8.59,758.955378658977,5991.5867479709
2022,"Chile",615706.34,5897398.89,9.57826565501989,9.61416666666667,873.314189543014,8364.83530774138
2023,"Chile",636883.62,5792341.57,9.09481950564218,10.5633333333333,840.066526651499,7640.25343262713
2024,"Chile",646941.28,5798542.72,8.96301240817404,10.7458333333333,943.572167421488,8457.24904460647
1976,"Norway",1910,13301,6.96387434554974,5.45651666566667,13.0541666666667,37.9984964241007
1977,"Norway",2285,17034,7.454704595186,5.323499999,21.5358333333333,39.685119905018
1978,"Norway",3672,24714,6.73039215686275,5.242249999,31.6558333333333,35.2823982775834
1979,"Norway",4971,45543,9.16173808086904,5.06406666566667,37.2458333333333,46.3956524148978
1980,"Norway",4300,49290,11.4627906976744,4.939224999,39,56.6173023722581
1981,"Norway",7896,55512,7.03039513677812,5.73950833233333,39,40.3510114671337
1982,"Norway",9662,65942,6.82488097702339,6.45403333233333,50.9083333333333,44.0480093149166
1983,"Norway",15901,102018,6.41582290421986,7.29636666566667,78.7883333333333,46.8121963711705
1984,"Norway",20368,122843,6.03117635506677,8.16145833258333,98.4775,49.2231945183392
1985,"Norway",24855,161994,6.51756185878093,8.59723333308333,160.859999999917,56.033000062744
1986,"Norway",40091,240051,5.98765308922202,7.39474166666667,192.929999999667,44.2771477844155
1987,"Norway",44572,343217,7.70028268868348,6.73745,219.406666666667,51.8802696008705
1988,"Norway",67028,488229,7.28395595870383,6.51698333333333,245.011666666667,47.4694195836069
1989,"Norway",98313,533766,5.42925147233835,6.9045,266.954166666667,37.4862667907601
1990,"Norway",132892,807498,6.07634771092316,6.25974166666667,304.903333333333,38.0363669472203
1991,"Norway",134792,774060,5.74262567511425,6.4829425,349.215833333333,37.2291120507894
1992,"Norway",133598,827454,6.19361068279465,6.21450083333333,362.575833333333,38.4901987495696
1993,"Norway",143100,755346,5.27844863731656,7.09412916666667,404.165833333333,37.4459964327393
1994,"Norway",170360,913501,5.36218008922282,7.05758416666667,420.176666666667,37.8440372965142
1995,"Norway",207370,1072971,5.17418623716063,6.33515666666667,396.773333333333,32.7792804349231
1996,"Norway",238920,1084622,4.53968692449355,6.44980833333333,412.266666666667,29.2801105563229
1997,"Norway",262510,1087778,4.14375833301589,7.07340083333334,419.295,29.3104636458866
1998,"Norway",282620,1163844,4.11805250866888,7.5450975,460.2875,31.0711076880263
1999,"Norway",338625,1376862,4.06603765227021,7.79917166666667,508.776666666667,31.7117256531857
2000,"Norway",344697,1398698,4.057760874043,8.80184166666667,539.5875,35.7157687345214
2001,"Norway",338935,1113307,3.2847212592385,8.99165416666667,634.938333333334,29.5350775969704
2002,"Norway",360901,1203180,3.33382284892533,7.98377883333333,688.936666666667,26.6165042953331
2003,"Norway",414882,1414361,3.40906812057404,7.08021666666667,691.3975,24.1369409250903
2004,"Norway",441225,1663470,3.77011728709842,6.74083333333333,609.529166666667,25.4137322794493
2005,"Norway",487636,2107765,4.32241466995874,6.4425,559.7675,27.8471565112092
2006,"Norway",513116,2681554,5.22601906781313,6.41333333333333,530.275,33.5162022882415
2007,"Norway",618616,2992587,4.83755189002548,5.86166666666666,522.464166666667,28.3561166620327
2008,"Norway",633858,3252706,5.13160045309833,5.64,522.461035833334,28.9422265554746
2009,"Norway",722249,3789861,5.24730529221917,6.28833333333333,560.85989484127,32.9968047792382
2010,"Norway",795445,5191293,6.52627522958847,6.04416666666666,510.249166666667,39.4458952001709
2011,"Norway",838346,5206940,6.21096778657022,5.60460730676328,483.6675,34.8100354386828
2012,"Norway",995197,5081800,5.10632568225186,5.8175,486.471303391053,29.7060496565002
2013,"Norway",956800,6750787,7.05558841973244,5.875,495.272877645503,41.4515819659281
2014,"Norway",996668,6950382,6.97361809549419,6.30166666666667,570.34821612744,43.9454166984392
2015,"Norway",1033356,5962584,5.77011601035848,8.06416666666667,654.124084254196,46.5311771935325
2016,"Norway",978985,7314702,7.47172020000306,8.4,676.957736044657,62.7624496800257
2017,"Norway",989348,7794125,7.87804190234377,8.27166666666666,648.833792598261,65.1645366022202
2018,"Norway",1038282,8308174,8.00184728233755,8.1325,641.276813066395,65.0750230236101
2019,"Norway",1102833.67,8212287.03,7.44653273961068,8.8,702.897422561529,65.529488108574
2020,"Norway",1121926.77,7465175.44,6.65388832820167,9.41583333333334,792.727206103169,62.6519035169589
2021,"Norway",1262198.94,9420732.08,7.46374583391743,8.59,758.955378658977,64.1135767133507
2022,"Norway",1214946.97,10878451.04,8.95384844657047,9.61416666666667,873.314189543014,86.083791273403
2023,"Norway",1191930.64,11445815.1,9.60275264003617,10.5633333333333,840.066526651499,101.437077054248
2024,"Norway",1208154.75,11275886.29,9.33314733894809,10.7458333333333,943.572167421488,100.292445779779
